"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-10-06 13:32:31 013365689_465_000_0","CHOOSE","","28,312.07","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","Abstain",""
"2021-10-06 13:32:31 013365689_465_000_0","CHOOSE","","28,312.07","Offboard the UNIV2LINKETH-A Vault Type - October 4, 2021","Yes",""
"2021-10-02 12:23:23 013339826_239_000_1","VOTE","","28,312.07","Offboarding USDT Collateral, Core Unit Budget Distributions - October 1, 2021","",""
"2021-10-02 12:23:23 013339826_239_000_0","MOVE VOTE","","28,312.07","Adjusting Auction Parameters and Testing Layer 2 Components - September 24, 2021","",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","28,312.07","Ratification Poll for Risk Core Unit MKR Compensation (MIP40c3-SP25) -  September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","28,312.07","Ratification Poll for GovAlpha Core Unit Budget Q4 2021 to Q1 2022 (MIP40c3-SP29) - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","28,312.07","Ratification Poll for Modify Core Unit Budget - Sustainable Ecosystem Scaling (MIP40c3-SP31) - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","28,312.07","Ratification Poll for Collateral Engineering Services Core Unit, CES-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","28,312.07","Ratification Poll for StarkNet Engineering Core Unit, SNE-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","28,312.07","Ratification Poll for Development & UX Core Unit, DUX-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","28,312.07","Ratification Poll for Strategic Happiness Core Unit, SH-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","28,312.07","Ratification Poll for RWA Foundations (MIP58) - September 13, 2021","Abstain",""
"2021-09-25 13:25:54 013295233_185_000_1","VOTE","","28,312.07","Adjusting Auction Parameters and Testing Layer 2 Components - September 24, 2021","","YES"
"2021-09-25 13:25:54 013295233_185_000_0","MOVE VOTE","","28,312.07","Collateral Onboarding and Offboarding, PSM DC-IAM changes - September 17, 2021","",""
